month,dm_ret_before,dm_ret_after,rf_rate,cointegration_ret_before,cointegration_ret_after,copula_ret_before,copula_ret_after
2016-01-01,0.00722218340876096,0.0054221976166443945,0.00019909577211688214,0.003813241877601069,7.215342189369478e-05,0.012688451946451584,0.00828292856343178
2016-02-01,0.00832549757914702,0.005632375440626194,0.0002456374985733034,0.003354850971802645,2.3709521852852827e-05,0.0163480719906637,0.009158508377357119
2016-03-01,0.0030580977705249434,0.0015789778230155121,0.0002313788983507668,0.0032162496466759424,0.0008596554943583594,0.005677157133787368,0.0015295520238266522
2016-04-01,0.0014621166611665899,0.00016732884554205855,0.00018142922014341423,0.002594410300775009,0.00046219901808809206,0.003006405327247364,-0.0002985292442028157
2016-05-01,0.00047838767382580975,-0.0012462793587958664,0.00021281531842465284,0.005817732681542443,0.0035693365812568697,0.0018552746365001426,-0.0021694504327658694
2016-06-01,5.0070306020117816e-05,-0.002156110547202566,0.00021234303779467514,0.01615364944803053,0.013713694613415199,-0.0011176329304059748,-0.0038334502279715587
2016-07-01,0.000527240504904421,-0.001255112842034044,0.00023400278263235874,0.002365959920759844,-0.0005352908999055758,-0.0004660550639388819,-0.0030920561849676243
2016-08-01,-0.0017206832891971608,-0.003186017175481139,0.00023578844786114917,-0.0017777248920557932,-0.004005545522660963,-0.00012174475871109816,-0.003229897482715707
2016-09-01,-0.0022919788599631186,-0.0036901352884194084,0.00022737589246157874,0.002366446521637132,-9.922017551647257e-05,-0.002965006630436039,-0.005630164309539544
2016-10-01,1.92049863329107e-06,-0.001332246224983448,0.00025552071473788907,0.00882780236568183,0.005882280793025991,-0.002232401609273762,-0.004682506767229615
2016-11-01,-0.0010583430937117944,-0.0032142172139712037,0.00035838809611475896,0.0011005255770559035,-0.0023029403443494377,-0.00152210904623515,-0.003923058362157645
2016-12-01,-0.0020366315193143334,-0.0038827757931564635,0.0004063508347387224,-0.004290501801008873,-0.0069523401338196025,-0.0014900963691541437,-0.004369786188998501
2017-01-01,-0.0007887761222037179,-0.0022293503975681184,0.0004134344717991123,0.0017995680756248296,-0.0005649207046867524,0.0006737569023487912,-0.0027656795046645016
2017-02-01,-0.0010170512200239244,-0.002533208184312461,0.0004242724728043692,-0.012051397790338656,-0.014542469377732169,-0.0012716755616897007,-0.0039301525716259516
2017-03-01,-0.0006474538795231698,-0.002224041271010258,0.0006003714950351317,-0.011275549014508397,-0.013250878288537384,0.0005718313069684583,-0.0034096188730616335
2017-04-01,0.00037958305122318825,-0.001162134537032683,0.0006516650126502962,-0.011612946298382743,-0.01385579981905625,0.0006888964281415798,-0.002908352400240321
2017-05-01,0.00015749141410481516,-0.0012701355909425125,0.0007290824577325004,-0.011408236941999807,-0.014048997869802812,0.0007490583639341392,-0.0031847121704636824
2017-06-01,0.0012920530196553401,-0.0008816659290218302,0.0008054271200202967,-0.004843356017063656,-0.007253721085879704,0.0012358911818149243,-0.002514797030493125
2017-07-01,0.0007299237331898994,-0.001434522549260699,0.0008743226002682625,-0.0025745306990601733,-0.005392823027379833,0.0018554019489143276,-0.0020816365932141696
2017-08-01,0.0007946434670334699,-0.0014962373942704955,0.0008372432595884591,0.00012139581136032353,-0.0026177477607771562,0.0024757720787743393,-0.0010805982618709582
2017-09-01,-0.00013213516898861368,-0.001899538776884629,0.0008427815938121253,0.0005357212538515742,-0.0022084185295267286,0.003451954361089063,-0.00010853995770149401
2017-10-01,-0.0018752652654964149,-0.004391553418913134,0.0008811746213832022,-0.006067513894816141,-0.009861025697205443,0.0059531441078402225,0.0016184020367476799
2017-11-01,-0.002224790792803511,-0.004904612141081113,0.001005827420184957,-0.0048886929640180364,-0.009008543563900287,0.0007840277585125325,-0.0032890152441844996
2017-12-01,-0.003609569354247052,-0.0061207919336633615,0.0010773997631521091,-0.010020308080159414,-0.012940152077340348,-0.003345157780285235,-0.006617763577420218
2018-01-01,-0.001375274782777391,-0.003887271528466993,0.0011559838789092503,-0.006525212891930678,-0.009864412531814354,-0.0030190466618012016,-0.005584706427004239
2018-02-01,-0.0004339485358435058,-0.0025541312016427553,0.0012813959459652136,-0.009630217500765025,-0.012153643601916892,-0.0010739405001311219,-0.0035309142777224848
2018-03-01,0.0008295413539215006,-0.0009245401810027085,0.0013882121802808456,-0.007921223287637455,-0.010772937226687993,0.0013244359427314325,-0.0022075397685782723
2018-04-01,0.0018751836371621647,-0.0005703049076531199,0.0014332785186017551,0.007097317413226216,0.0033189961845565296,0.0018904241071535691,-0.001707366852947901
2018-05-01,0.00421750181120667,0.0013860597225593449,0.0015238004464187146,0.008284034511150945,0.0042815685897078515,0.0010485047159760166,-0.002771305836712082
2018-06-01,0.0004277011150074404,-0.0010852796939235622,0.001554438024927718,0.008041742507852783,0.0042677685890386615,0.0003373505782347422,-0.003225765914989019
2018-07-01,-0.00023645056900575422,-0.0017572831098274224,0.0015987524367959693,-0.001741556265875185,-0.0048075859940129705,0.0002583383657771777,-0.0036466344059542404
2018-08-01,-0.0012771238076148652,-0.0034037382850233815,0.0016653756039127728,-0.0012982231334811387,-0.00464296481241343,-0.0025352145988470714,-0.0057367033849434305
2018-09-01,-0.0005521453462399771,-0.002248730336000861,0.001742815290191853,0.0043301999178654614,0.0014454661495254446,-0.0007551936390812864,-0.003941886289549391
2018-10-01,-7.06375978213863e-05,-0.002156035118639742,0.0018386969486347909,0.00617181092211675,0.0027702575664579655,0.000546238907239828,-0.0029481328600632073
2018-11-01,0.0023857769730584455,-0.0002031734147052508,0.0019045830562554045,-0.0002938894424666819,-0.003368140454100089,0.0021215371903412663,-0.0014970443352567348
2018-12-01,-2.120647646949804e-05,-0.002052184471827179,0.0019298497528020759,0.00221809667317413,-0.0011599633121462955,-1.4220136751223167e-05,-0.0028931558724596194
2019-01-01,-0.0008209752217718832,-0.0026190165776607765,0.0019419296783744766,-0.0014539755086198161,-0.004681707312181404,0.002200363922053227,-0.0008279444354413485
2019-02-01,-0.0008607808920486461,-0.002282938649306274,0.0019553483275442578,-0.006254917122647871,-0.008680686239546622,0.0016291061599756956,-0.001007710449324404
2019-03-01,-0.002207588902109405,-0.003692348411723985,0.001967167032024264,-0.007698644302129694,-0.010270375085742788,-0.000364298215958126,-0.003483879808769529
2019-04-01,-0.0003165853945451703,-0.0018106949520585146,0.001949917439096005,-0.003139892436195476,-0.006003953762031235,0.001621392199313873,-0.0014596424877952867
