ticker_A,ticker_B,entry_date,exit_date,direction,return_before_cost,return_after_cost,transaction_cost,converged,days_open,window_id,formation_start,trading_start,beta
AMT,JNJ,2016-01-26,2016-06-30,short_B_long_A,-0.08704777672621417,-0.09704777672621416,0.01,False,156,0,2015-01-02,2016-01-04,0.6594973106002648
KIM,O,2016-01-04,2016-06-30,short_B_long_A,-0.011615018308431702,-0.021615018308431704,0.01,False,178,0,2015-01-02,2016-01-04,1.584952073778549
AEP,WEC,2016-01-25,2016-02-03,short_B_long_A,0.036010643082689725,0.026010643082689723,0.01,True,9,0,2015-01-02,2016-01-04,1.0727282223164696
AEP,WEC,2016-06-13,2016-06-30,short_B_long_A,0.011741683209097867,0.0017416832090978666,0.01,False,17,0,2015-01-02,2016-01-04,1.0727282223164696
CL,OMC,2016-01-04,2016-01-19,short_B_long_A,0.04511441411930161,0.03511441411930161,0.01,True,15,0,2015-01-02,2016-01-04,1.2326823227950854
CL,OMC,2016-02-16,2016-06-28,short_B_long_A,0.042865187695132805,0.0328651876951328,0.01,True,133,0,2015-01-02,2016-01-04,1.2326823227950854
BLK,ITW,2016-01-28,2016-06-30,short_B_long_A,-0.7922821977974617,-0.8022821977974617,0.01,False,154,0,2015-01-02,2016-01-04,0.19579731883249812
HON,WFC,2016-01-05,2016-06-30,long_B_short_A,-0.17151154606902885,-0.18151154606902886,0.01,False,177,0,2015-01-02,2016-01-04,0.5849682638416902
MRSH,TFC,2016-01-14,2016-06-30,long_B_short_A,-0.13224000554294466,-0.14224000554294466,0.01,False,168,0,2015-01-02,2016-01-04,0.6727917688850544
GD,SYK,2016-01-21,2016-06-30,short_B_long_A,-0.44876846412662574,-0.45876846412662575,0.01,False,161,0,2015-01-02,2016-01-04,0.5382701100378429
BDX,TMO,2016-01-11,2016-01-28,short_B_long_A,0.050544124684265744,0.04054412468426574,0.01,True,17,0,2015-01-02,2016-01-04,1.1694729066204812
BDX,TMO,2016-02-02,2016-02-04,long_B_short_A,0.06473823538096642,0.054738235380966414,0.01,True,2,0,2015-01-02,2016-01-04,1.1694729066204812
BDX,TMO,2016-02-26,2016-03-02,long_B_short_A,0.048249443488461,0.038249443488460995,0.01,True,5,0,2015-01-02,2016-01-04,1.1694729066204812
